Club,Name,League,Count
C%C3%BAcuta_Deportivo,Cúcuta Deportivo,Categoría Primera A,1
Leones_F.C._(Colombia),Itagüí Leones F.C.,Categoría Primera B,1
Club_Recreativo_Granada,Club Recreativo Granada,Unknown,1
Real_Valladolid_Promesas,Real Valladolid Promesas,Segunda Federación,1
Gimn%C3%A0stic_de_Tarragona,Gimnàstic de Tarragona,Primera Federación,1
FK_Inter_Bratislava,FK Inter Bratislava,2. Liga,1
Wis%C5%82a_P%C5%82ock,Wisła Płock,Ekstraklasa,1
Legia_Warsaw,Legia Warsaw,Ekstraklasa,1
Legia_Warsaw_II,Legia Warsaw II,II liga,1
Widzew_%C5%81%C3%B3d%C5%BA,Widzew Łódź,Ekstraklasa,1
Atromitos_F.C.,Atromitos F.C.,Super League Greece,1
S.C._Freamunde,S.C. Freamunde,District Championship,1
S.C._Ideal,S.C. Ideal,Portuguese District Championships,1
L%C3%A4nk_FC_Vilaverdense,L%C3%A4nk FC Vilaverdense,Unknown,1
Hebei_China_Fortune,Hebei China Fortune,Unknown,1
Deportivo_de_La_Coru%C3%B1a,Deportivo de La Coru%C3%B1a,Unknown,1
Sakaryaspor,Sakaryaspor,TFF 2. Lig,1
CS_Don_Bosco,CS Don Bosco,Linafoot,1
TP_Mazembe,TP Mazembe,Linafoot,1
Hartlepool_United_F.C.,Hartlepool United F.C.,National League,1
Waasland_Beveren,Waasland Beveren,Unknown,1
C.D._Aves,C.D. Aves,Primeira Liga,1
PAS_Lamia_1964,PAS Lamia 1964,Gamma Ethniki,1
Levadiakos_F.C.,Levadiakos F.C.,Super League Greece,1
Beijing_Guoan,Beijing Guoan,Unknown,1
Neuch%C3%A2tel_Xamax_FCS,Neuchâtel Xamax FCS,Swiss Challenge League,1
AS_Simba,AS Simba,Ilicocash Ligue 1,1
AS_Vita_Club,AS Vita Club,Linafoot,1
Young_Africans_S.C.,Young Africans S.C.,Tanzanian Premier League,1
AS_B%C3%A9ziers_(2007),AS Béziers (2007),Régional 1,1
Union_Titus_P%C3%A9tange,Union Titus Pétange,BGL Ligue,1
Football_Bourg-en-Bresse_P%C3%A9ronnas_01,Football Bourg-en-Bresse Péronnas 01,Ligue 3,1
Aris_Limassol_FC,Aris Limassol FC,First Division,1
C.D._F%C3%A1tima,C.D. Fátima,Campeonato de Portugal,1
G.D.U._Ericeirense,G.D.U. Ericeirense,Lisbon FA 2nd Division,1
Novara_Calcio,Novara FC,Serie C,1
FC_Mash%27al,FC Mash'al,Uzbekistan Super League,1
FC_Kokand_1912,FC Kokand 1912,Uzbekistan Pro League,1
FC_Navbahor,PFC Navbahor Namangan,Uzbekistan Super League,1
FC_Energetik-BGU_Minsk,FC SKA-1938 Minsk,Belarusian First League,1
FC_Navbahor_Namangan,FC Navbahor Namangan,Unknown,1
FK_Buxoro,FC Bukhara,Uzbekistan Pro League,1
FK_Samarqand-Dinamo,FC Dinamo Samarqand,Uzbekistan Super League,1
Seongnam_FC,Seongnam FC,K League 2,1
Navbahor_Namangan,Navbahor Namangan,Unknown,1
FC_Ufa,FC Ufa,Russian First League,1
FC_Ural_Yekaterinburg,FC Ural Yekaterinburg,Russian First League,1
FC_Shurtan_Guzar,FC Shurtan,Uzbekistan Super League,1
FC_Pakhtakor_Tashkent,FC Pakhtakor Tashkent,Unknown,1
FC_Dinamo_Samarqand,FC Dinamo Samarqand,Unknown,1
FK_Kokand_1912,FK Kokand 1912,Unknown,1
Sementchi,PFC Sementchi,Uzbekistan First League,1
FC_Buxoro,FC Buxoro,Unknown,1
Al_Dhafra_Club,Al Dhafra Club,Unknown,1
FC_Aktobe,FC Aktobe,Kazakhstan Premier League,1
FC_Tobol,FC Tobol,Kazakhstan Premier League,1
BG_Pathum_United_F.C.,BG Pathum United F.C.,Thai League 1,1
FK_Andijon,FC Andijon,Uzbekistan Super League,1
FC_Dynamo_Brest,FC Dynamo Brest,Belarusian Premier League,1
FC_Olympic_Tashkent,FC Olympic Tashkent,Unknown,1
FC_Surkhon,FC Surkhon,Uzbekistan Super League,1
Dinamo_Samarqand,Dinamo Samarqand,Unknown,1
TSV_1860_Munich_II,TSV 1860 Munich II,Bayernliga Süd,1
US_Lecce,US Lecce,Serie A,1
HNK_%C5%A0ibenik,HNK Šibenik,Croatian Football League,1
GNK_Dinamo_Zagreb_II,GNK Dinamo Zagreb II,Unknown,1
FC_Crotone,FC Crotone,Serie C,1
NK_Dubrava,NK Dubrava,First League,1
Radomiak_Radom,Radomiak Radom,Ekstraklasa,1
FC_S%C3%BCdtirol,FC Südtirol,Serie B,1
Bradford_City_A.F.C.,Bradford City A.F.C.,EFL League One,1
Leyton_Orient_F.C.,Leyton Orient F.C.,EFL League One,1
Stockport_County_F.C.,Stockport County F.C.,EFL League One,1
Yeovil_Town_F.C.,Yeovil Town F.C.,National League,1
Lincoln_City_F.C.,Lincoln City F.C.,EFL Championship,1
Blackpool_F.C.,Blackpool F.C.,EFL League One,1
Exeter_City_F.C.,Exeter City F.C.,EFL League Two,1
Weston-super-Mare_A.F.C.,Weston-super-Mare A.F.C.,National League South,1
Peterborough_United_F.C.,Peterborough United F.C.,EFL League One,1
Steadfast_F.C.,Steadfast F.C.,"Division One League, Ghana",1
Dreams_F.C._(Ghana),Dreams F.C.,Ghana Premier League,1
FC_Urartu,FC Urartu,Armenian Premier League,1
KF_Sk%C3%ABnderbeu_Kor%C3%A7%C3%AB,KF Skënderbeu,Kategoria Superiore,1
UD_Ibiza,UD Ibiza,Primera Federación,1
Sutton_United_F.C.,Sutton United F.C.,National League,1
Oxford_City_F.C.,Oxford City F.C.,National League North,1
Ebbsfleet_United_F.C.,Ebbsfleet United F.C.,National League South,1
Highworth_Town_F.C.,Highworth Town F.C.,Hellenic League,1
Bath_City_F.C.,Bath City F.C.,Southern League,1
Newport_County_A.F.C.,Newport County A.F.C.,EFL League Two,1
St_Patrick%27s_Athletic_F.C.,St Patrick's Athletic F.C.,League of Ireland Premier Division,1
Accra_City_Stars_F.C.,Accra City Stars F.C.,Poly Tank Division One League,1
Accra_Great_Olympics_F.C.,Accra Great Olympics F.C.,Ghana Premier League,1
Accra_Hearts_of_Oak_S.C.,Accra Hearts of Oak S.C.,Ghana Premier League,1
Asante_Kotoko_F.C.,Asante Kotoko S.C.,Ghana Premier League,1
Attram_De_Visser_Soccer_Academy,Attram De Visser Soccer Academy,Ghana Division Two League,1
GIF_Sundsvall,GIF Sundsvall,Superettan,1
Bechem_United_F.C.,Bechem United F.C.,Premier League,1
FC_Isloch_Minsk_Raion,FC Isloch Minsk Raion,Belarusian Premier League,1
FC_Kryvbas_Kryvyi_Rih_(2020),FC Kryvbas Kryvyi Rih,Ukrainian Premier League,1
Uni%C3%B3n_Espa%C3%B1ola,Unión Española,Primera B,1
Racing_Club_de_Montevideo,Racing Club de Montevideo,Liga AUF Uruguaya,1
%C5%A0K_Slovan_Bratislava,ŠK Slovan Bratislava,Slovak First Football League,1
SFC_Etar_Veliko_Tarnovo,SFC Etar Veliko Tarnovo,Second League,1
Correcaminos_UAT,Correcaminos UAT,Liga de Expansión MX,1
C%C3%B3rdoba_CF,Córdoba CF,Segunda División,1
AD_Alcorc%C3%B3n,AD Alcorcón,Primera Federación,1
Cultural_Leonesa,Cultural Leonesa,Unknown,1
S.D._Atl%C3%A9tico_Nacional,S.D. Atlético Nacional,Liga Panameña de Fútbol,1
C.S.D._Municipal,C.S.D. Municipal,Liga Bantrab,1
FC_Khimki,FC Khimki,Russian Premier League,1
Pittsburgh_Riverhounds_SC,Pittsburgh Riverhounds SC,USL Championship,1
FC_Cincinnati_(2016%E2%80%932018),FC Cincinnati (2016%E2%80%932018),Unknown,1
Las_Vegas_Lights_FC,Las Vegas Lights FC,USL Championship,1
C%C3%A1diz_CF_B,Cádiz CF Mirandilla,Tercera Federación,1
Recreativo_de_Huelva,Recreativo de Huelva,Segunda Federación,1
Al_Jandal_SC,Al-Jandal SC,FD League,1
Hapoel_Ironi_Kiryat_Shmona_F.C.,Hapoel Ironi Kiryat Shmona F.C.,Israeli Premier League,1
Deportivo_Alav%C3%A9s_B,Deportivo Alavés B,Segunda Federación,1
CD_Lugo,CD Lugo,Primera Federación,1
Houston_Dynamo_FC,Houston Dynamo FC,Major League Soccer,1
Deportivo_Fabril,Deportivo Fabril,Unknown,1
El_Tanque_Sisley,El Tanque Sisley,Liga AUF Uruguaya,1
Acad%C3%A9mico_de_Viseu_F.C.,Académico de Viseu F.C.,Primeira Liga,1
C.D._%C3%81rabe_Unido,C.D. Árabe Unido,Liga Panameña de Fútbol,1
Cafetaleros_de_Tapachula,Cafetaleros de Tapachula,Unknown,1
Atl%C3%A9tico_Verag%C3%BCense,Atlético Veragüense,Liga Panameña de Fútbol,1
Club_Deportivo_del_Este,Potros del Este,Liga Panameña de Fútbol,1
C.D._Marath%C3%B3n,C.D. Marathón,Liga Nacional,1
Atl%C3%A9tico_Venezuela_C.F.,Atlético Venezuela C.F.,Liga FUTVE,1
Deportivo_T%C3%A1chira_F.C.,Deportivo Táchira F.C.,Liga FUTVE,1
Academia_Puerto_Cabello,Academia Puerto Cabello,Liga FUTVE,1
LA_Galaxy_II,Ventura County FC,MLS Next Pro,1
LA_Galaxy,LA Galaxy,Major League Soccer,1
Club_Deportivo_%C3%81rabe_Unido,Club Deportivo %C3%81rabe Unido,Unknown,1
FC_Ko%C5%A1ice_(2018),FC Košice,Slovak First Football League,1
Vila_Nova_Futebol_Clube,Vila Nova Futebol Clube,Campeonato Brasileiro Série B,1
Al-Kawkab_FC,Al-Kawkab FC,Saudi Second Division League,1
Club_9_de_Octubre,9 de Octubre F.C.,Serie B,1
Cusco_FC,Cusco FC,Liga 1,1
CDUdeC,C.D. Universidad de Concepción,Liga de Primera,1
Everton_de_Vi%C3%B1a_del_Mar,Everton de Viña del Mar,Liga de Primera,1
Coquimbo_Unido,Coquimbo Unido,Liga de Primera,1
Torrellano_Illice_CF,Torrellano Illice CF,Tercera Federación,1
Ontinyent_CF,Ontinyent CF,Segunda División,1
Club_Universitario_de_Deportes,Club Universitario de Deportes,Liga 1,1
Cienciano,Cienciano,Liga 1,1
Budapest_Honv%C3%A9d_FC,Kispest Honvéd FC,NB I,1
Potros_del_Este,Potros del Este,Unknown,1
Zamora_CF,Zamora CF,Primera Federación,1
A.D._San_Carlos,A.D. San Carlos,Liga Promerica,1
Boluspor,Boluspor,TFF 1. Lig,1
Club_Always_Ready,Club Always Ready,División Profesional,1
Carabobo_F.C.,Carabobo F.C.,Liga FUTVE,1
O%26M_FC,O&M FC,Liga Dominicana de Fútbol,1
Comunicaciones_F.C.,Comunicaciones FC,Liga Bantrab,1
FC_Okzhetpes,FC Okzhetpes,Kazakhstan Premier League,1
FC_Carlos_Stein,FC Carlos Stein,Liga 3,1
Al-Minaa_SC,Al-Minaa SC,Iraq Stars League,1
Turan_Tovuz,Turan Tovuz,Azerbaijan Premier League,1
